GenSense: Active Rules Catalog
----------------------------------------------------------------------------------------------------
Rule ID                        | Severity   | Description
----------------------------------------------------------------------------------------------------
RUST_ASYNC_MUTEX_DEADLOCK      | Warning | Potential deadlock: async lock guard held across .await point.
RUST_ASYNC_PANIC_PREVENTION    | Warning | Unsafe error handling pattern (unwrap/expect/panic) in async scope.
RUST_FAKE_ASYNC                | Warning | Function marked as async but contains no .await points (Fake Async).
RUST_ASYNC_BLOCKING            | Warning | Potentially blocking call (sleep/fs/net) detected in async context.
RUST_MISSING_TRACING_SPAN      | Warning | Async function lacks observability instrumentation (tracing span).
RUST_MISSING_TIMEOUT           | Critical | Async I/O operation missing explicit timeout protection.
AI_PLACEHOLDER_PANIC           | Warning | Unimplemented placeholder panic detected.
AI_TAUTOLOGICAL_ASSERT         | Warning | Tautological assertion detected (e.g. assert!(true)).
AI_DEAD_RESULT_DISCARD         | Warning | Silent result discard (let _ = ...) detected.
AI_USELESS_TEST                | Warning | Test function detected that logs output but lacks assertions.
RUST_REDUNDANT_COMMENT         | Warning | Documentation that merely restates the identifier name.
TS_FLOATING_PROMISE            | Warning | Unawaited promise detected (fetch/prisma/db).
SECRET_LEAK_DETECTION          | Critical | Potential hardcoded secret or cryptographic key detected.
GLOBAL_TODO_PLACEHOLDER        | Warning | Unresolved TODO or FIXME detected.
TS_HARDCODED_ENV_URL           | Warning | I found a hardcoded environment URL. This usually indicates configuration that should be externalized.
JS_DYNAMIC_EXECUTION           | Warning | We observed a pattern of dynamic code execution using 'eval()'.
TS_DYNAMIC_EXECUTION           | Warning | We observed a pattern of dynamic code execution using 'eval()'.
TS_ALIASED_DYNAMIC_EXECUTION   | Warning | Aliased dynamic code execution detected.
TS_CONSOLE_USAGE               | Warning | I noticed 'console.log' being used here.
TS_BLOCKING_IO                 | Warning | We observed a synchronous I/O call within a potentially asynchronous execution path.
TS_EMPTY_CATCH                 | Warning | Hey, it looks like this catch block is empty.
TS_NON_NULL_ASSERTION          | Warning | We noticed a non-null assertion (!) being used.
TS_MAGIC_NUMBER                | Warning | We noticed a raw numeric literal (magic number) being used.
TS_ANY_TYPE                    | Warning | I spotted an 'any' type annotation.
TS_REACT_HOOK_DEPS             | Warning | I noticed a 'useEffect' hook with an empty dependency array [].
TS_BUNDLE_BLOAT                | Warning | Hey, it looks like a heavy library is being imported entirely using 'import *'.
TS_ASYNC_FOR_EACH              | Warning | I noticed a '.forEach' call with an 'async' callback.
TS_SENSITIVE_DATA_LOGGING      | Warning | I noticed a logging call that seems to include sensitive keywords (password, token, secret).
TS_DATA_LEAK_TRACKER           | Warning | Sensitive data flow into unsafe sink detected via Taint Analysis
SOL_INTEGER_OVERFLOW           | Warning | I found an 'unchecked' arithmetic block. Please verify that overflow is physically impossible here.
SOL_MISSING_ACCESS_CONTROL     | Warning | I noticed a public/external function that doesn't appear to have access control. Is this intended to be permissionless?
SOL_STATE_MUTATION_CHECK       | Warning | Hey, I noticed a state mutation that looks like it might be inside a view or pure context.
